Product Name,Product Price,Product Quantity,Product Brand,Product Category,Product Tag,Product Discount,Link to Product
MASSIMO SANDWICH LOAF W.WHEAT GERM 400G,RM3.50,8,Massimo,"All items,Bakery,Best Seller,Bread,Except Alcohol,Groceries","Bakery,Best Seller,Bread,Massimo,whole wheat",,https://vsj.bites.com.my/collections/groceries/products/massimo-sandwich-loaf-w-wheat-germ-400g
VITAGEN ASST TWIN PACK 2X5X125ML,RM9.90 RM9.78,20,Vitagen,"All items,Beverages,Chilled Juices & Drinks,CNY Fair,Cold Beverages,Dairy & Eggs,Except Alcohol,Fridge,Groceries,Milk","Beverages,Chilled Drinks,CNY Fair,Dairy,Fridge,Milk,On Sale,Vitagen",-2%,https://vsj.bites.com.my/collections/groceries/products/vitagen-asst-twin-pack-2x5x125ml
MAGGI CURRY 5X79G,RM6.25 RM5.78,46,Maggi,"All items,Canned Food & Instant Meals,Childhood Memories,Childhood Memories,Except Alcohol,Groceries,Pantry","Childhood Memories,Groceries,Instant Food,Instant Meals,Instant Noodles,Maggi,On Sale,Pantry",-8%,https://vsj.bites.com.my/collections/groceries/products/maggi-curry-5x79g
JASMINE SUNWHITE FRAGRANT RICE 5KG,RM37.05 RM31.88,3,Jasmine,"All items,CNY Fair,Except Alcohol,Groceries,Pantry,Pasta, Rice & Noodles,Rice","CNY Fair,Fragrant Rice,Groceries,Jasmine,On Sale,Pantry,Rice",-14%,https://vsj.bites.com.my/collections/groceries/products/jasmine-sunwhite-fragrant-rice-5kg
VITAGEN LESS SUGAR ASST TWIN PACK 2X5X125ML,RM10.65,9,Vitagen,"All items,Beverages,Chilled Juices & Drinks,Christmas Fair,Cold Beverages,Dairy & Eggs,Except Alcohol,Fridge,Groceries","Beverages,Chilled Drinks,Christmas Fair,Cultured Milk,Dairy,Fridge,Groceries,Vitagen",,https://vsj.bites.com.my/collections/groceries/products/vitagen-less-sugar-asst-twin-pack-2x5x125ml
MISSION TORTILLA ORIGINAL WRAPS 360G,RM8.60,16,Mission,"All items,Bakery,Bread,Except Alcohol,Groceries","Bakery,Bread,Groceries,Mission",,https://vsj.bites.com.my/collections/groceries/products/mission-tortilla-original-wraps-360g
DUTCH LADY UHT FULL CREAM 3X1L,RM21.70 RM18.88,9999,Dutch Lady,"All items,Beverages,Dairy & Eggs,Except Alcohol,Fridge,Groceries,UHT Milk","Beverages,Dairy,Dutch Lady,Groceries,On Sale,UHT Milk",-13%,https://vsj.bites.com.my/collections/groceries/products/dutch-lady-uht-full-cream-3x1l
ANCHOR WHEAT FLOUR 1KG,RM3.90,62,Anchor,"All items,Baking Ingredients,Except Alcohol,Groceries,Pantry","Anchor,Baking,Flour,Groceries,Pantry",,https://vsj.bites.com.my/collections/groceries/products/anchor-wheat-flour-1kg
ARNOTTS TIM TAM ORIGINAL 200G,RM15.50 RM14.28,30,Arnott's,"All items,Biscuits & Cookies,Christmas Fair,Except Alcohol,Groceries,October Deals,Pantry,Snacks & Sweets","Arnott's,Biscuits,Christmas Fair,Cookies,Groceries,October Deals,On Sale,Pantry,Snacks",-8%,https://vsj.bites.com.my/collections/groceries/products/arnotts-tim-tam-original-200g
GARDENIA NUMEE YELLOW NOODLES 450G,RM2.00,5,Gardenia,"All items,Except Alcohol,Groceries,Pantry","Gardenia,Groceries,Noodle,Pantry",,https://vsj.bites.com.my/collections/groceries/products/gardenia-numee-yellow-noodles-450g
GARDENIA BUN SAMBAL BILIS 60G,RM1.60,21,Gardenia,"All items,Bakery,Bread,Except Alcohol,Groceries,Pantry","Bakery,Bread,Gardenia,Groceries,Pantry",,https://vsj.bites.com.my/collections/groceries/products/gardenia-bun-sambal-bilis-60g
AYAM BRAND TUNA CHUNK IN WATER 150G,RM7.70 RM7.49,37,Ayam Brand,"All items,Canned Food & Instant Meals,Except Alcohol,Groceries,Pantry","Ayam Brand,Canned Food,Groceries,Instant Meals,On Sale,Pantry",-3%,https://vsj.bites.com.my/collections/groceries/products/ayam-brand-tuna-chunk-in-water-150gm
UFC REFRESH COCONUT WATER 1L,RM9.00,24,UFC,"All items,Beverages,Except Alcohol,Groceries","Beverages,Coconut Water,Groceries,Mixed Drink,UFC",,https://vsj.bites.com.my/collections/groceries/products/ufc-refresh-coconut-water-1l
PREGO SPAGHETTI 500G,RM5.20 RM4.88,28,Prego,"All items,Christmas Fair,CNY Fair,Except Alcohol,Groceries,Pantry,Pasta,Pasta, Rice & Noodles","Christmas Fair,CNY Fair,Groceries,On Sale,Pantry,Pasta,Prego",-7%,https://vsj.bites.com.my/collections/groceries/products/prego-spaghetti-500g
ARNOTTS CHOC TIM TAM CLASSIC DARK 200G,RM15.50 RM14.28,28,Arnott's,"All items,Biscuits & Cookies,Christmas Fair,Except Alcohol,Groceries,October Deals,Pantry,Snacks & Sweets","Arnott's,Biscuits,Christmas Fair,Cookies,Groceries,October Deals,On Sale,Pantry,Snacks",-8%,https://vsj.bites.com.my/collections/groceries/products/arnotts-choc-tim-tam-classic-dark-200g
MILO RTD UHT 5+1X200ML,RM10.45,9,Bites Shop,"All items,Beverages,Except Alcohol,Groceries","Back 2 Skool,beverages,Cold Drinks,groceries,Malt Drinks,Milo,Sahur",,https://vsj.bites.com.my/collections/groceries/products/milo-rtd-uht-5-1x200ml
JASMINE BIHUN 400G,RM3.50,23,Jasmine,"All items,Except Alcohol,Groceries,Pantry,Pasta, Rice & Noodles","Bihun,Groceries,Jasmine,Noodles,Pantry,Vermicelli",,https://vsj.bites.com.my/collections/groceries/products/jasmine-bihun-400g
SAN REMO SPAGHETTI NO.5 500GM,RM5.30 RM4.68,22,San Remo,"All items,Christmas Fair,CNY Fair,Except Alcohol,Groceries,Pantry,Pasta,Pasta, Rice & Noodles","Christmas Fair,CNY Fair,Groceries,Noodles,On Sale,Pantry,Pasta,San Remo,Spaghetti",-12%,https://vsj.bites.com.my/collections/groceries/products/san-remo-spaghetti-no-5-500gm
VITAGEN ASSORTED 5X125ML,RM5.10,14,Vitagen,"All items,Beverages,Chilled Juices & Drinks,Cold Beverages,Dairy & Eggs,Except Alcohol,Fridge,Groceries,Milk","Beverages,Chilled Drinks,Dairy,Fridge,Milk,Vitagen",,https://vsj.bites.com.my/collections/groceries/products/vitagen-assorted-5x125ml
MILO AUSTRALIA 1KG,RM50.90,81,Milo,"All items,Beverages,Except Alcohol,Groceries,Hot Beverages","Beverages,Chocolate Drinks,Groceries,Hot Beverages,Milo,Nestle",,https://vsj.bites.com.my/collections/groceries/products/milo-australia-1kg
AYAM BRAND SARDINES TALL 425G,RM10.45,14,Ayam Brand,"All items,Canned Food & Instant Meals,Except Alcohol,Groceries,Pantry","Ayam Brand,Canned Food,Groceries,Instant Meals,Pantry",,https://vsj.bites.com.my/collections/groceries/products/ayam-brand-sardines-tall-425g
BARILLA SPAGHETTI 500G,RM8.15 RM7.28,20,Barilla,"All items,Except Alcohol,Groceries,Pantry,Pasta,Pasta, Rice & Noodles","Barilla,Groceries,On Sale,Pantry,Pasta",-11%,https://vsj.bites.com.my/collections/groceries/products/barilla-spaghetti-500g
MASSIMO WHITE S.LOAF 600G,RM4.30,7,Massimo,"All items,Bakery,Bread,Except Alcohol,Groceries","Bakery,Bread,Massimo",,https://vsj.bites.com.my/collections/groceries/products/massimo-white-s-loaf-600g
FARMHOUSE FRESH MILK 2X1L,RM24.35 RM22.68,6,Farmhouse,"All items,Beverages,Dairy & Eggs,Except Alcohol,Fridge,Groceries,Milk","Beverages,Dairy,FarmhouseFridge,Groceries,Milk,On Sale",-7%,https://vsj.bites.com.my/collections/groceries/products/farmhouse-fresh-milk-2x1l
MAGGI TOMATO KETCHUP 475G,RM5.95 RM5.58,10,Maggi,"All items,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","groceries,Maggi,On Sale,pantry,Sauces,tomato ketchup",-7%,https://vsj.bites.com.my/collections/groceries/products/maggi-tomato-ketchup-475g
FAIZA MOGHUL BASMATHI RICE 5KG,RM51.90,3,Faiza,"All items,Except Alcohol,Groceries,Pantry,Pasta, Rice & Noodles,Rice","Faiza,Groceries,Pantry,Rice",,https://vsj.bites.com.my/collections/groceries/products/faiza-moghul-basmathi-rice-5kg
AYAM BRAND CHILLI TUNA 160G,RM7.70 RM7.49,14,Ayam Brand,"All items,Canned Food & Instant Meals,Except Alcohol,Groceries,Pantry","Ayam Brand,Canned Food,Groceries,Instant Meals,On Sale,Pantry",-3%,https://vsj.bites.com.my/collections/groceries/products/ayam-brand-chilli-tuna-160gm
VITAGEN APPLE 5X125ML,RM4.95,9,Vitagen,"All items,Beverages,Chilled Juices & Drinks,Cold Beverages,Dairy & Eggs,Except Alcohol,Fridge,Groceries,Milk","Beverages,Chilled Drinks,Dairy,Fridge,Milk,Vitagen",,https://vsj.bites.com.my/collections/groceries/products/vitagen-apple-5x125ml
CSR NATURAL BROWN SUGAR 1KG,RM5.45,3,CSR,"All items,Cooking Ingredients,Except Alcohol,Groceries,Nuts, Seeds & Dried Goods,Pantry","Cooking,Cooking Ingredients,Dried Goods,Groceries,Pantry,Sugar",,https://vsj.bites.com.my/collections/groceries/products/csr-natural-brown-sugar-1kg
JASMINE SUNWHITE FRAGRANT RICE 10KG,RM71.00 RM59.88,6,Jasmine,"All items,Except Alcohol,Groceries,Pantry,Pasta, Rice & Noodles,Rice","Fragrant Rice,Groceries,Jasmine,On Sale,Pantry,Rice",-16%,https://vsj.bites.com.my/collections/groceries/products/jasmine-sunwhite-fragrant-rice-10kg
SANITARIUM SO GOOD ALMOND MILK UNSWEETENED 1L,RM12.20 RM10.68,35,Sanitarium,"All items,Beverages,Christmas Fair,CNY Fair,Dairy & Eggs,Except Alcohol,Fridge,Groceries,Milk","Almond Milk,Beverages,Christmas Fair,CNY Fair,Dairy,Groceries,Milk,On Sale,Sanitarium",-13%,https://vsj.bites.com.my/collections/groceries/products/sanitarium-so-good-almond-milk-unsweetened-1l
VITAGEN ASST LESS SUGAR 5X125ML,RM5.40,7,Vitagen,"All items,Beverages,Chilled Juices & Drinks,Cold Beverages,Dairy & Eggs,Except Alcohol,Fridge,Groceries,Milk","Beverages,Chilled Drinks,Dairy,Fridge,Groceries,Milk,Vitagen",,https://vsj.bites.com.my/collections/groceries/products/vitagen-asst-less-sugar-5x125ml
SPRITZER MINERAL WATER 9.5L,RM10.90,2,Spritzer,"All items,Best Seller,Beverages,Except Alcohol,Groceries,Water","Best Seller,Beverages,Groceries,Mineral Water,Spritzer,Water",,https://vsj.bites.com.my/collections/groceries/products/spritzer-mineral-water-95l
STAR FLAVOUR VANILLA 25ML,RM3.00 RM2.88,15,Star Brand,"All items,Baking Ingredients,CNY Fair,Except Alcohol,Groceries,Pantry","Baking,CNY Fair,Colouring,Groceries,On Sale,Pantry,Star Brand",-4%,https://vsj.bites.com.my/collections/groceries/products/star-flavour-vanilla-25ml
AYAM BRAND TRIM COCONUT MILK 200ML,RM3.30,11,Ayam Brand,"All items,Cooking Ingredients,Except Alcohol,Groceries,Pantry","Ayam Brand,Condiment,Cooking,Groceries,Pantry",,https://vsj.bites.com.my/collections/groceries/products/ayam-brand-trim-coconut-milk-200ml
OREO VANILLA 119.6G,RM3.50 RM3.18,23,Oreo,"All items,Biscuits & Cookies,Christmas Fair,CNY Fair,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Biscuits,Christmas Fair,CNY Fair,On Sale,Oreo,Pantry,Snacks",-10%,https://vsj.bites.com.my/collections/groceries/products/oreo-vanilla-119-6g
AYAM BRAND TUNA CHUNKS IN OLIVE OIL LIGHT 150G,RM7.70 RM7.49,31,Ayam Brand,"All items,Canned Food & Instant Meals,Except Alcohol,Groceries,Pantry","Ayam Brand,Canned Food,Groceries,Instant Meals,On Sale,Pantry",-3%,https://vsj.bites.com.my/collections/groceries/products/ayam-brand-tuna-light-chunk-i-olive-oil-150gm
MAGGI CHICKEN 5X77G,RM6.25 RM5.78,5,Maggi,"All items,Canned Food & Instant Meals,Childhood Memories,Childhood Memories,Except Alcohol,Groceries,Pantry","Childhood Memories,Groceries,Instant Food,Instant Meals,Instant Noodles,Maggi,On Sale,Pantry",-8%,https://vsj.bites.com.my/collections/groceries/products/maggi-chicken-5x77g
CARNATION EVAPORATED CREAMER 390G,RM4.25 RM3.98,20,Carnation,"All items,Childhood Memories,Childhood Memories,Except Alcohol,Groceries,Pantry","Carnation,Childhood Memories,Creamer,Evaporated Creamer,Groceries,On Sale,Pantry",-7%,https://vsj.bites.com.my/collections/groceries/products/carnation-evaporated-creamer-390g
MAGGI BIG CHICKEN 5X103G,RM7.10,4,Maggi,"All items,Canned Food & Instant Meals,Except Alcohol,Groceries,Pantry","Groceries,Instant Meals,Instant Noodles,Maggi,Pantry",,https://vsj.bites.com.my/collections/groceries/products/maggi-big-chicken-5x103g
PREGO MACARONI 500G,RM5.20 RM4.88,18,Prego,"All items,Christmas Fair,CNY Fair,Except Alcohol,Groceries,Pantry,Pasta,Pasta, Rice & Noodles","Christmas Fair,CNY Fair,Groceries,On Sale,Pantry,Pasta,Prego",-7%,https://vsj.bites.com.my/collections/groceries/products/prego-macaroni-500g
MARIGOLD 100% JUICE APPLE 1L,RM7.35 RM5.88,9,Marigold,"All items,Beverages,Christmas Fair,Except Alcohol,Groceries,Juices & Fruit Drinks","Beverages,Christmas Fair,Fruit Drinks,Groceries,Juices,Marigold,On Sale",-20%,https://vsj.bites.com.my/collections/groceries/products/marigold-100-juice-apple-1l
LOTUS CARAMELISED BISCUITS 2SX8 124G,RM7.15,6,Biscoff,"All items,Biscuits & Cookies,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Biscuits,Cookies,Groceries,Lotus,Lotus Biscoff,Pantry,Snacks",,https://vsj.bites.com.my/collections/groceries/products/lotus-caramelised-biscuits-2sx8-124g
MISSION TORTILLA CHIPS ORIGINAL 170G,RM7.80,8,Mission,"All items,Chips & Crackers,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Chips,Groceries,Mission,Pantry,Snacks",,https://vsj.bites.com.my/collections/groceries/products/mission-tortilla-chips-original-170g
FARMHOUSE HICAL LOW FAT 2X1L,RM24.35 RM22.68,15,Farmhouse,"All items,Beverages,Dairy & Eggs,Except Alcohol,Fridge,Groceries,Milk","Beverages,Dairy,FarmhouseFridge,Groceries,Milk,On Sale",Discount not found,https://vsj.bites.com.my/collections/groceries/products/farmhouse-hical-low-fat-2x1l
VITAGEN GRAPE 5X125ML,RM4.95,34,Vitagen,"All items,Beverages,Chilled Juices & Drinks,Cold Beverages,Dairy & Eggs,Except Alcohol,Fridge,Groceries,Milk","Beverages,Chilled Drinks,Dairy,Fridge,Milk,Vitagen",,https://vsj.bites.com.my/collections/groceries/products/vitagen-grape-5x125ml
AYAM BRAND BAKED BEAN LIGHT 425GM,RM4.60,6,Ayam Brand,"All items,Canned Food & Instant Meals,Except Alcohol,Groceries,Pantry","Ayam Brand,Canned Food,Groceries,Instant Meals,Pantry",,https://vsj.bites.com.my/collections/groceries/products/ayam-brand-baked-bean-light-425gm
DUTCH LADY UHT LOW FAT 3X1L,RM21.70 RM18.88,10,Dutch Lady,"All items,Beverages,Dairy & Eggs,Except Alcohol,Fridge,Groceries,UHT Milk","Beverages,Dairy,Dutch Lady,Groceries,On Sale,UHT Milk",-13%,https://vsj.bites.com.my/collections/groceries/products/dutch-lady-uht-low-fat-3x1l
AYAM BRAND BAKED BEANS IN T/S 230GM,RM3.35,11,Ayam Brand,"All items,Canned Food & Instant Meals,Except Alcohol,Groceries,Pantry","Ayam Brand,Canned Food,Groceries,Instant Meals,Pantry",,https://vsj.bites.com.my/collections/groceries/products/ayam-brand-baked-beans-in-t-s-230gm
MAGGI BIG CURRY 5X106G,RM7.10,39,Maggi,"All items,Canned Food & Instant Meals,Except Alcohol,Groceries,Pantry","Groceries,Instant Meals,Instant Noodles,Maggi,Pantry",Discount not found,https://vsj.bites.com.my/collections/groceries/products/maggi-big-curry-5x106g
INDOMIE MI GORENG ASLI (PROMO) 10X80G,RM10.69 RM9.98,27,Indomie,"All items,Canned Food & Instant Meals,Except Alcohol,Groceries,Pantry","Groceries,Indomie,Instant Meals,Instant Noodles,On Sale,Pantry",-7%,https://vsj.bites.com.my/collections/groceries/products/indomie-mi-goreng-asli-promo-10x80g
SAN REMO MACARONI NO.38 500GM,RM5.40 RM4.68,20,San Remo,"All items,Except Alcohol,Groceries,Pantry,Pasta,Pasta, Rice & Noodles","Groceries,Noodles,On Sale,Pantry,Pasta,San Remo",-14%,https://vsj.bites.com.my/collections/groceries/products/san-remo-macaroni-no-38-500gm
COCA-COLA ZERO SUGAR 1.5L,RM4.50 RM3.78,16,Coca-Cola,"All items,Beverages,Carbonated Drinks,Except Alcohol,Groceries","Beverages,Carbonated Drinks,Coca-Cola,Coke,Cola,Groceries,On Sale",-16%,https://vsj.bites.com.my/collections/groceries/products/coca-cola-zero-sugar-1-5l
SUMO CALROSE RICE 5KG,RM36.90 RM28.88,3,Sumo,"All items,Christmas Fair,CNY Fair,Except Alcohol,Groceries,Pantry,Pasta, Rice & Noodles,Rice","Christmas Fair,CNY Fair,Grains,Groceries,Japanese Rice,On Sale,Pantry,Rice,Sumo",-22%,https://vsj.bites.com.my/collections/groceries/products/sumo-calrose-rice-5kg
MCVITIE'S DARK CHOC TP 632G,RM21.90,12,McVities,"All items,Biscuits & Cookies,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Biscuits,groceries,McVitie's,pantry,Snacks",,https://vsj.bites.com.my/collections/groceries/products/mcvities-dark-choc-tp-632g
BARILLA SPAGHETTINI N3 500G,RM8.15 RM7.28,28,Barilla,"All items,Except Alcohol,Groceries,Pantry,Pasta,Pasta, Rice & Noodles","Barilla,Groceries,On Sale,Pantry,Pasta",-11%,https://vsj.bites.com.my/collections/groceries/products/barilla-spaghettini-n3-500g
CARLSBERG BEER CAN (GL) 6X320ML,RM44.00 RM32.88,64,Carlsberg,"Alcohol,All items,Beer,Beer & Cider,Beverages,Beverages Offer,Groceries","Alcohol,Beer,Beverages,Beverages Offer,Booze,Carlsberg,On Sale",-26%,https://vsj.bites.com.my/collections/groceries/products/carlsberg-beer-can-gl-6x320ml
AYAM BRAND SARDINE JITNEY 155G,RM5.15,65,Ayam Brand,"All items,Canned Food & Instant Meals,Except Alcohol,Groceries,Pantry","Ayam Brand,Canned Food,Groceries,Instant Meals,Pantry",,https://vsj.bites.com.my/collections/groceries/products/ayam-brand-sardine-jitney-155g
MISSION TORTILLA CHIPS CHEESE 170G,RM7.80,9,Mission,"All items,Chips & Crackers,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Chips,Groceries,Mission,Pantry,Snacks",,https://vsj.bites.com.my/collections/groceries/products/mission-tortilla-chips-cheese-170g
MISSION WRAPS GARLIC 8'S 360GM,RM8.60,27,Mission,"All items,Bakery,Bread,Except Alcohol,Groceries","Bakery,Bread,Groceries,Mission",,https://vsj.bites.com.my/collections/groceries/products/mission-wraps-garlic-8-s-360gm
COCA COLA RASA ASLI 1.5L,RM4.50 RM3.78,16,Coca-Cola,"*Raya Fair,All items,Beverages,Carbonated Drinks,Except Alcohol,Groceries","Beverages,Carbonated Drinks,Coca-Cola,Coke,Cola,Groceries,On Sale,Salam Aidilfitri",-16%,https://vsj.bites.com.my/collections/groceries/products/coca-cola-rasa-asli-1-5l
KEWPIE MAYONNAISE JAPANESE STYLE 310ML,RM11.35,32,Kewpie,"All items,Condiments & Salad Dressings,Except Alcohol,Groceries,Pantry","Condiments,groceries,Kewpie,mayonnaise,pantry",,https://vsj.bites.com.my/collections/groceries/products/kewpie-mayonnaise-japanese-style-310ml
LKK PANDA OYSTER SAUCE 510G,RM9.00,15,Lee Kum Kee,"All items,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","Lee Kum Kee,Oyster Sauce,Pantry,Sauces",,https://vsj.bites.com.my/collections/groceries/products/lkk-panda-oyster-sauce-510g
AYAM BRAND CHILLI TUNA LIGHT 160G,RM7.70 RM7.49,7,Ayam Brand,"All items,Canned Food & Instant Meals,Except Alcohol,Groceries,Pantry","Ayam Brand,Canned Food,Groceries,Instant Meals,On Sale,Pantry",-3%,https://vsj.bites.com.my/collections/groceries/products/ayam-brand-chilli-tuna-light-160gm
MAGGI CHICKEN STOCK CUBE 60G,RM3.40,59,Maggi,"All items,Cooking Ingredients,Except Alcohol,Groceries,Herbs & Spices,Pantry","groceries,Maggi,pantry,Seasoning",,https://vsj.bites.com.my/collections/groceries/products/maggi-chicken-stock-cube-60g
HOMESOY NO SUGAR ADDED 1L,RM3.90 RM3.58,5,Homesoy,"All items,Beverages,CNY Fair,Dairy & Eggs,Except Alcohol,Fridge,Groceries,Mixed Drinks & Cordials","Beverages,CNY Fair,Dairy,Groceries,Homesoy,Mixed Drinks,On Sale,Soy Drinks,Soy Milk",-9%,https://vsj.bites.com.my/collections/groceries/products/homesoy-no-sugar-added-1l
