Product Name,Product Price,Product Quantity,Product Brand,Product Category,Product Tag,Product Discount,Link to Product
F&N SCFM PEKAT MANIS 500G,RM5.55,23,Bites Shop,"All items,Beverages,Except Alcohol,Groceries,Hot Beverages","Beverages,Creamer,F&N,Groceries,Hot Beverages,Sweetener",,https://vsj.bites.com.my/collections/groceries/products/fn-scfm-pekat-manis-500g
MAGGI CHILLI SAUCE 500G,RM6.00 RM5.58,11,Maggi,"All items,Childhood Memories,Childhood Memories,Condiments & Salad Dressings,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","Childhood Memories,Chilli Sauce,Condiments,Groceries,Maggi,On Sale,Pantry,Sauces",-7%,https://vsj.bites.com.my/collections/groceries/products/maggi-chilli-sauce-500g
SUMO CALROSE RICE 1KG,RM11.10,24,Sumo,"All items,Except Alcohol,Groceries,Pantry,Pasta, Rice & Noodles,Rice","Grains,Groecries,Pantry,Rice,Sumo",,https://vsj.bites.com.my/collections/groceries/products/sumo-calrose-rice-1kg
ARNOTTS TIM TAM DOUBLE CHOCOLATE 200G,RM15.50 RM14.28,14,Arnott's,"All items,Biscuits & Cookies,Christmas Fair,Except Alcohol,Groceries,October Deals,Pantry,Snacks & Sweets","Arnott's,Biscuits,Christmas Fair,Cookies,Groceries,October Deals,On Sale,Pantry,Snacks",-8%,https://vsj.bites.com.my/collections/groceries/products/arnotts-tim-tam-double-chocolate-200g
GARDENIA TOAST'EM CHOCO RAISIN 360G,RM5.50,27,Gardenia,"All items,Bakery,Bread,Except Alcohol,Groceries,Pantry","Bakery,Bread,Gardenia,Groceries,Pantry",,https://vsj.bites.com.my/collections/groceries/products/gardenia-toast-em-choco-raisin-360g
MAGGI TOMATO SAUCE 325G,RM4.45,30,Maggi,"All items,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","groceries,Maggi,pantry,Sauces,tomato ketchup",,https://vsj.bites.com.my/collections/groceries/products/maggi-tomato-sauce-325g
ADABI ASAM JAWA XTRA 200G,RM5.10,10,Adabi,"All items,Except Alcohol,Groceries,Pantry","Adabi,Asam Jawa,Cooking Ingredients,Groceries,Pantry",,https://vsj.bites.com.my/collections/groceries/products/adabi-asam-jawa-xtra-200g
SANITARIUM SO GOOD ALMOND MILK 1L,RM12.20 RM10.68,34,Sanitarium,"All items,Beverages,Christmas Fair,CNY Fair,Dairy & Eggs,Except Alcohol,Fridge,Groceries,Milk","Almond Milk,Beverages,Christmas Fair,CNY Fair,Dairy,Groceries,Milk,On Sale,Sanitarium",-13%,https://vsj.bites.com.my/collections/groceries/products/sanitarium-so-good-almond-milk-1l
CSR BETTER BROWN SUGAR 1KG,RM5.95,4,CSR,"All items,Baking Ingredients,Cooking Ingredients,Except Alcohol,Groceries,Nuts, Seeds & Dried Goods,Pantry","Baking,Baking Ingredients,Cooking,Cooking Ingredients,Dried Goods,Groceries,Pantry,Sugar",,https://vsj.bites.com.my/collections/groceries/products/csr-better-brown-sugar-1kg
PRINGLES ORIGINAL 102G,RM7.80 RM6.68,43,Pringles,"All items,Chips & Crackers,Christmas Fair,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Chips,Christmas Fair,Groceries,On Sale,Pantry,Pringles,Snacks",-15%,https://vsj.bites.com.my/collections/groceries/products/pringles-original-102g
MISSION TORTILLA CHIPS GARLIC & BUTTER 170G,RM7.80,7,Mission,"All items,Chips & Crackers,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Chips,Groceries,Mission,Pantry,Snacks",,https://vsj.bites.com.my/collections/groceries/products/mission-tortilla-chips-garlic-butter-170g
KJELDSENS BUTTER COOKIES 454G,RM39.45 RM32.88,16,Kjeldsens,"All items,Biscuits & Cookies,Childhood Memories,Childhood Memories,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Biscuits,Butter Cookies,Childhood Memories,Cookies,Groceries,Kjeldsens,On Sale,Pantry,Snacks",-17%,https://vsj.bites.com.my/collections/groceries/products/kjeldsens-butter-cookies-454g
MCVITIES DIGESTIVE 400G,RM11.70,4,McVitie's,"All items,Biscuits & Cookies,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Biscuits,Groceries,McVitie's,Pantry,Snacks",,https://vsj.bites.com.my/collections/groceries/products/mcvities-digestive-400g
NUTELLA T350G,RM21.50,7,Nutella,"All items,Breakfast & Cereals,Except Alcohol,Groceries,October Deals,Pantry","Breakfast,Chocolate,Chocolate Spreads,Groceries,Nutella,October Deals,Pantry,Spread",,https://vsj.bites.com.my/collections/groceries/products/nutella-t350g
NUTELLA HAZELNUT SPREAD 200GM,RM12.20,25,Nutella,"All items,Breakfast & Cereals,Except Alcohol,Groceries,Jams & Spreads,Pantry","Breakfast,Groceries,Nutella,Pantry,Spreads",,https://vsj.bites.com.my/collections/groceries/products/nutella-hazelnut-spread-200gm
NONGSHIM SHIN RAMYUN 5X120GM,RM22.90 RM19.98,29,Nongshim,"All items,Canned Food & Instant Meals,CNY Fair,Except Alcohol,Groceries,Pantry","CNY Fair,Groceries,Instant Meals,Instant Noodles,Nongshim,On Sale,Pantry",-13%,https://vsj.bites.com.my/collections/groceries/products/nongshim-shin-ramyun-5x120gm
NUTELLA T680G,RM39.50,8,Nutella,"All items,Breakfast & Cereals,Except Alcohol,Groceries,Jams & Spreads,Pantry","Breakfast,Groceries,Nutella,Pantry,Spreads",,https://vsj.bites.com.my/collections/groceries/products/nutella-t680g
MILO SOFTPACK 400G,RM10.25,20,Milo,"All items,Beverages,Except Alcohol,Groceries,Hot Beverages","beverages,groceries,Hot Beverages,Milo",,https://vsj.bites.com.my/collections/groceries/products/milo-softpack-400g
LOTUS CARAMELISED BISCUITS (2X12) 186GM,RM9.30 RM8.58,14,Biscoff,"All items,Biscuits & Cookies,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Biscuits,Cookies,Groceries,Lotus,Lotus Biscoff,On Sale,Pantry,Snacks",-8%,https://vsj.bites.com.my/collections/groceries/products/lotus-caramelised-biscuits-2x12-186gm
NATUREL BLEND COOKING OIL 1KG,RM14.90 RM14.58,5,Naturel,"All items,Cooking Ingredients,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","groceries,Naturel,Oil,On Sale,pantry",-3%,https://vsj.bites.com.my/collections/groceries/products/naturel-blend-cooking-oil-1kg
KARA COCONUT CREAM 500ML,RM8.60,41,Kara,"All items,Except Alcohol,Groceries,Pantry","BakingCoconut Cream,Groceries,Kara,Pantry",,https://vsj.bites.com.my/collections/groceries/products/kara-coconut-cream-500ml
MAURI-PAN INSTANT YEAST 11G,RM1.10,77,Mauri-Pan,"All items,Baking Ingredients,Except Alcohol,Groceries,Pantry","Baking,groceries,Mauri Pan,pantry,yeast",,https://vsj.bites.com.my/collections/groceries/products/mauri-pan-instant-yeast-11g
MISSION WRAPS ONION & CHIVE 8'S 360GM,RM8.60,6,Mission,"All items,Bakery,Bread,Except Alcohol,Groceries","Bakery,Bread,Groceries,Mission",,https://vsj.bites.com.my/collections/groceries/products/mission-wraps-onion-chive-8-s-360gm
INDOMIE MI GORENG ASLI 5X80G,RM5.89 RM5.28,93,Indomie,"All items,Canned Food & Instant Meals,Christmas Fair,Except Alcohol,Groceries,Pantry","Christmas Fair,Groceries,Indomie,Instant Meals,Instant Noodles,On Sale,Pantry",Discount not found,https://vsj.bites.com.my/collections/groceries/products/indomie-mi-goreng-asli-5x80g
CED PURE HONEY 500GM,RM14.00,20,CED,"All items,Except Alcohol,Groceries,Organic Breakfast & Spreads,Organics,Pantry","CED,Groceries,Organic Honey,Organics,Pantry",,https://vsj.bites.com.my/collections/groceries/products/ced-pure-honey-500gm
RIBENA BLACKCURRANT 1L,RM16.85 RM14.88,32,Ribena,"All items,Beverages,Deepavali Fair,Except Alcohol,Groceries,Mixed Drinks & Cordials","Beverages,Cordial,Deepavali Fair,Groceries,Mixed Drinks,On Sale,Ribena",-12%,https://vsj.bites.com.my/collections/groceries/products/ribena-blackcurrant-1l
INDOMIE MI GORENG SPECIAL (PROMO) 10X85G,RM10.69 RM9.98,8,Indomie,"All items,Canned Food & Instant Meals,Except Alcohol,Groceries,Pantry","Groceries,Indomie,Instant Meals,Instant Noodles,On Sale,Pantry",-7%,https://vsj.bites.com.my/collections/groceries/products/indomie-mi-goreng-special-promo-10x85g
COLAVITA PURE OLIVE OIL 750ML,RM51.90,15,Colavita,"All items,Cooking Ingredients,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","Colavita,groceries,Oil,Olive Oil,pantry",,https://vsj.bites.com.my/collections/groceries/products/colavita-pure-olive-oil-750ml
V-SOY LOW SUGAR UHT 1L,RM6.95,5,V-Soy,"All items,Beverages,Coffee Day,Cold Beverages,Dairy & Eggs,Except Alcohol,Groceries,Milk,Mixed Drinks & Cordials","Beverages,Coffee Day,Cold Beverages,Groceries,Milk,Soy Milk,V-Soy",,https://vsj.bites.com.my/collections/groceries/products/v-soy-low-sugar-uht-1l
THINS POTATO CHIPS ORIGINAL 175G,RM15.90,4,Thins,"All items,Chips & Crackers,Christmas Fair,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Chips,Christmas Fair,Groceries,Pantry,Potato Chips,Snacks,Thins",,https://vsj.bites.com.my/collections/groceries/products/thins-potato-chips-original-175g
PRINGLES SOUR CREAM & ONION 102G,RM7.80 RM6.68,44,Pringles,"All items,Chips & Crackers,Christmas Fair,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Chips,Christmas Fair,Groceries,On Sale,Pantry,Pringles,Snacks",-15%,https://vsj.bites.com.my/collections/groceries/products/pringles-sour-cream-onion-102g
MISSION TORTILLA CHIPS TOMATO 170G,RM7.80,8,Mission,"All items,Chips & Crackers,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Chips,Groceries,Mission,Pantry,Snacks",Discount not found,https://vsj.bites.com.my/collections/groceries/products/mission-tortilla-chips-tomato-170g
MISSION WRAPS WHOLEGRAIN 8'S 360GM,RM8.60,6,Mission,"All items,Bakery,Bread,Except Alcohol,Groceries","Bakery,Bread,Groceries,Mission",,https://vsj.bites.com.my/collections/groceries/products/mission-wraps-wholegrain-8-s-360gm
LKK LIGHT SOY SAUCE 500ML,RM6.00,12,Lee Kum Kee,"All items,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","Lee Kum Kee,pantry,Sauces",,https://vsj.bites.com.my/collections/groceries/products/lkk-light-soy-sauce-500ml
GARDEN WATER CRACKER 125G,RM11.75,9,Garden,"All items,Chips & Crackers,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Crackers,Garden,Groceries,Pantry,Snacks",,https://vsj.bites.com.my/collections/groceries/products/garden-water-cracker-125g
MCVITIES DIGESTIVE TWIN PACK 2X360G,RM19.90,38,McVitie's,"All items,Biscuits & Cookies,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Biscuits,Cookies,Groceries,Imported,McVitie's,Pantry,Snacks",,https://vsj.bites.com.my/collections/groceries/products/mcvities-digestive-twin-pack-2x360g
HOMESOY ORIGINAL 1L,RM3.90 RM3.58,8,Homesoy,"All items,Beverages,CNY Fair,Dairy & Eggs,Except Alcohol,Fridge,Groceries,Mixed Drinks & Cordials","Beverages,CNY Fair,Dairy,Groceries,Homesoy,Mixed Drinks,On Sale,Soy Drinks,Soy Milk",-9%,https://vsj.bites.com.my/collections/groceries/products/homesoy-original-1l
AYAM BRAND DELI TUNA MAYO 160G,RM7.70 RM7.49,29,Ayam Brand,"All items,Canned Food & Instant Meals,Except Alcohol,Groceries,Pantry","Ayam Brand,Canned Food,Groceries,Instant Meals,On Sale,Pantry",-3%,https://vsj.bites.com.my/collections/groceries/products/ayam-brand-deli-tuna-mayo-160gm
ANGEL KICAP CAIR 750ML,RM12.15,24,Angel Brand,"All items,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","Angel Brand,groceries,Pantry,Sauces,Soy Sauce",,https://vsj.bites.com.my/collections/groceries/products/angel-kicap-cair-750ml
100 PLUS ORIGINAL 1.5L,RM4.45,42,100 Plus,"All items,Beverages,Carbonated Drinks,CNY Fair,Except Alcohol,Groceries,Sports & Energy Drinks","100Plus,Beverages,Carbonated Drinks,CNY Fair,Energy Drinks,Sports Drink",,https://vsj.bites.com.my/collections/groceries/products/100-plus-original-1-5l
HEINZ CHICKEN BROTH 1L,RM20.25 RM15.88,30,Heinz,"All items,CNY Fair,Condiments & Salad Dressings,Except Alcohol,Groceries,Pantry","Chicken Broth,CNY Fair,Condiments,Groceries,Heinz,On Sale,Pantry,Soup",-22%,https://vsj.bites.com.my/collections/groceries/products/heinz-chicken-broth-1l
MISSION QUINOA WRAPS 360G,RM9.00,12,Mission,"All items,Bakery,Bread,Except Alcohol,Groceries","Bakery,Bread,Groceries,Mission,On Sale",,https://vsj.bites.com.my/collections/groceries/products/mission-quinoa-wraps-360g
AYAM BRAND SARDINES 230G,RM7.15,25,Ayam Brand,"All items,Canned Food & Instant Meals,Except Alcohol,Groceries,Pantry","Ayam Brand,Canned Food,Groceries,Instant Meals,Pantry",,https://vsj.bites.com.my/collections/groceries/products/ayam-brand-sardines-230g
PAMA PLAIN BIHUN GOLD INSTANT 350G,RM6.35 RM5.98,23,Pama,"All items,Canned Food & Instant Meals,Christmas Fair,CNY Fair,Except Alcohol,Groceries,Pantry","Christmas Fair,CNY Fair,Groceries,Instant Meals,Instant Noodles,On Sale,Pama,Pantry",-6%,https://vsj.bites.com.my/collections/groceries/products/pama-plain-bihun-gold-instant-350g
KINDER BUENO T6 FP 3X43GM,RM13.50 RM12.68,27,Kinder Bueno,"All items,CNY Fair,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Chocolate,CNY Fair,Groceries,Kinder,On Sale,Pantry,Snacks,Sweets",-7%,https://vsj.bites.com.my/collections/groceries/products/kinder-bueno-t6-fp-3x43gm
MILO ACTIV-GO UHT 4X125ML,RM5.65 RM5.60,14,Bites Shop,"All items,Beverages,Childhood Memories,Childhood Memories,Dairy & Eggs,Except Alcohol,Fridge,Groceries,Milk","Beverages,Childhood Memories,Chocolate Drinks,Dairy,Fridge,Milk,Milo,On Sale",-1%,https://vsj.bites.com.my/collections/groceries/products/milo-activ-go-uht-4x125ml
GARDENIA ROLL UP WRAPS WHOLEMEAL 5X45G,RM5.20,14,Gardenia,"All items,Bakery,Bread,Except Alcohol,Groceries,Pantry","Bakery,Bread,Gardenia,Groceries,Pantry",,https://vsj.bites.com.my/collections/groceries/products/gardenia-roll-up-wraps-wholemeal-5x45g
FAIZA MOGHUL BASMATHI RICE 1KG,RM11.50,11,Faiza,"All items,Except Alcohol,Groceries,Pantry,Pasta, Rice & Noodles,Rice","Faiza,Groceries,Pantry,Rice",,https://vsj.bites.com.my/collections/groceries/products/faiza-moghul-basmathi-rice-1kg
KNORR CUBE CHICKEN 60G,RM3.25,33,Knorr,"All items,Cooking Ingredients,Except Alcohol,Groceries,Herbs & Spices,Pantry","groceries,Knorr,pantry,Seasoning",,https://vsj.bites.com.my/collections/groceries/products/knorr-cube-chicken-60g
SAN REMO ANGEL HAIR NO.9 500GM,RM5.30 RM4.68,23,San Remo,"All items,Christmas Fair,CNY Fair,Except Alcohol,Groceries,Pantry,Pasta,Pasta, Rice & Noodles","Christmas Fair,CNY Fair,Groceries,Noodles,On Sale,Pantry,Pasta,San Remo",-12%,https://vsj.bites.com.my/collections/groceries/products/san-remo-angel-hair-no-9-500gm
MSM PRAI COARSE SUGAR 1KG,RM2.85,77,MSM,"All items,Baking Ingredients,Cooking Ingredients,Except Alcohol,Groceries,Nuts, Seeds & Dried Goods,Pantry","Baking,Baking Ingredients,Cooking,Cooking Ingredients,Dried Goods,Groceries,Pantry,Sugar",,https://vsj.bites.com.my/collections/groceries/products/msm-prai-coarse-sugar-1kg
PREGO TRADITIONAL PASTA SAUCE 300G,RM5.95 RM5.68,15,Prego,"All items,CNY Fair,Condiments & Salad Dressings,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","CNY Fair,Condiments,Groceries,On Sale,Pantry,Pasta Sauces,Prego,Sauces",-5%,https://vsj.bites.com.my/collections/groceries/products/prego-traditional-pasta-sauce-300g
YOU.C1000 LEMON DRINK 6X140ML,RM18.20 RM14.98,16,You.C1000,"All items,Beverages,Chilled Juices & Drinks,Cold Beverages,Except Alcohol,Groceries,Juices & Fruit Drinks","Beverages,Chilled Drinks,Fruit Drinks,Groceries,On Sale,You.C1000",-18%,https://vsj.bites.com.my/collections/groceries/products/youc1000-lemon-drink-6x140ml
SAN REMO PENNE RIGATI 500G,RM5.30 RM4.68,9,San Remo,"All items,Christmas Fair,CNY Fair,Except Alcohol,Groceries,Pantry,Pasta,Pasta, Rice & Noodles","Christmas Fair,CNY Fair,Groceries,Noodles,On Sale,Pantry,Pasta,San Remo",-12%,https://vsj.bites.com.my/collections/groceries/products/san-remo-penne-rigati-500g
PRINGLES ORIGINAL (USA) 149G,RM10.00,8,Pringles,"All items,Chips & Crackers,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Chips,groceries,pantry,Pringles,Snacks",,https://vsj.bites.com.my/collections/groceries/products/pringles-original-usa-149g
PRINGLES CHEEZY CHEESE 102G,RM7.80 RM6.68,38,Pringles,"All items,Chips & Crackers,Christmas Fair,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Chips,Christmas Fair,Groceries,On Sale,Pantry,Pringles,Snacks",-15%,https://vsj.bites.com.my/collections/groceries/products/pringles-cheezy-cheese-102g
MARIGOLD UHT MILK FULL CREAM 1L,RM8.20 RM7.58,7,Marigold,"All items,Beverages,Dairy & Eggs,Except Alcohol,Fridge,Groceries,Mixed Drinks & Cordials,UHT Milk","Beverages,Dairy,Groceries,Marigold,On Sale,UHT,UHT Milk",-8%,https://vsj.bites.com.my/collections/groceries/products/marigold-uht-milk-full-cream-1l
LKK LESS SALTY SOY SAUCE 500ML,RM9.05,16,Lee Kum Kee,"All items,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","Lee Kum Kee,Pantry,Sauces,Soy Sauce",,https://vsj.bites.com.my/collections/groceries/products/lkk-less-salty-soy-sauce-500ml
FAIZA BIHUN SIAM 400GM,RM3.95,7,Faiza,"All items,Except Alcohol,Groceries,Pantry,Pasta, Rice & Noodles,Rice","Bihun,Faiza,Groceries,Noodles,Pantry,Rice",,https://vsj.bites.com.my/collections/groceries/products/faiza-bihun-siam-400gm
NATUREL SOFT MARGERINE 500G,RM12.50 RM10.68,18,Naturel,"All items,Butter & Margarine,Dairy & Eggs,Except Alcohol,Groceries,Pantry","Chilled Spread,Groceries,Margarine,Naturel,On Sale,Pantry",-15%,https://vsj.bites.com.my/collections/groceries/products/naturel-soft-margerine-500g
FAIZA KASHMIR BASMATHI RICE 5KG,RM33.60 RM33.50,3,Village Grocer - Subang Parade,"All items,Except Alcohol,Groceries,Pantry,Pasta, Rice & Noodles,Rice","Faiza,Groceries,On Sale,Pantry,Rice",-1%,https://vsj.bites.com.my/collections/groceries/products/faiza-kashmir-basmathi-rice-5kg
MISSION TORTILLA CHIPS MULTIGRAIN 170G,RM8.80,6,Mission,"All items,Chips & Crackers,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Chips,Groceries,Mission,Pantry,Snacks",,https://vsj.bites.com.my/collections/groceries/products/mission-tortilla-chips-multigrain-170g
OSK JAPANESE GREEN TEA 50X2G,RM23.90 RM20.88,8,OSK,"All items,Beverages,Coffee & Tea,Except Alcohol,Groceries,Hot Beverages","Beverages,Green Tea,Hot Beverages,On Sale,OSK,Tea",-13%,https://vsj.bites.com.my/collections/groceries/products/osk-japanese-green-tea-50x2g
HEINZ TOMATO KETCHUP 300G,RM5.45 RM4.99,37,Heinz,"*Korean Fair,All items,Condiments & Salad Dressings,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","Condiments,Groceries,Heinz,Korean Fair,On Sale,Pantry,Sauces",-9%,https://vsj.bites.com.my/collections/groceries/products/heinz-tomato-ketchup-300g
NATUREL EXTRA VIRGIN OLIVE OIL 750ML,RM54.50 RM49.88,4,Naturel,"All items,Christmas Fair,CNY Fair,Cooking Ingredients,Except Alcohol,Groceries,Pantry,Sauces, Oil & Vinegar","Christmas Fair,CNY Fair,Cooking Ingredient,Groceries,Naturel,Oil,On Sale,Pantry",-9%,https://vsj.bites.com.my/collections/groceries/products/naturel-extra-virgin-olive-oil-750ml
BARILLA FUSILLI 98 500G,RM8.40 RM7.28,9,Barilla,"All items,Except Alcohol,Groceries,Pantry,Pasta,Pasta, Rice & Noodles","Barilla,Groceries,On Sale,Pantry,Pasta",-14%,https://vsj.bites.com.my/collections/groceries/products/barilla-fusilli-98-500g
MUNCHYS CREAM CRACKER 300G,RM5.95,11,Munchy's,"All items,Biscuits & Cookies,Except Alcohol,Groceries,Pantry,Snacks & Sweets","Cookies,Groceries,Munchy's,Pantry,Snacks",,https://vsj.bites.com.my/collections/groceries/products/munchys-cream-cracker-300g
